Year,Cumulative global carbon dioxide emissions [GtCO2],Global temperature anomaly relative to 1850-1900 [degC],UK mean temperature [degC],UK mean specific humidity [g/kg],UK rainfall intensity [mm on wet days],Ribble river annual maximum peak flow [m3/s]
1995,1586.57,0.73,9.18,5.95,6.65,283.36
1996,1616.85,0.63,8.18,5.59,6.29,492.92
1997,1648.75,0.78,9.41,6.15,6.73,629.02
1998,1679.27,0.93,9.16,6.06,6.95,543.00
1999,1710.13,0.68,9.38,6.11,6.97,712.25
2000,1741.03,0.69,9.10,6.07,7.23,839.39
2001,1771.77,0.85,8.80,6.00,6.31,691.81
2002,1803.43,0.90,9.44,6.18,7.09,582.84
2003,1836.94,0.90,9.48,6.06,6.20,696.39
2004,1870.98,0.82,9.44,6.21,6.67,693.08
2005,1905.49,0.96,9.42,6.18,6.60,508.88
2006,1941.36,0.93,9.71,6.31,6.91,631.47
2007,1977.45,0.95,9.57,6.23,7.14,781.15
2008,2014.26,0.82,9.03,6.10,7.05,725.92
2009,2051.02,0.95,9.14,6.23,6.74,664.10
2010,2089.54,1.04,7.94,5.76,6.15,676.89
2011,2129.22,0.89,9.61,6.26,6.49,882.40
2012,2169.54,0.93,8.74,6.01,7.22,499.73
2013,2209.66,0.98,8.75,5.95,6.69,388.47
2014,2250.38,1.03,9.88,6.43,6.92,549.47
2015,2291.50,1.18,9.19,6.02,6.86,1112.84
2016,2331.59,1.29,9.29,6.25,6.52,600.95
2017,2372.22,1.20,9.53,6.33,6.27,551.47
2018,2413.30,1.12,9.45,6.20,6.49,791.32
2019,2454.98,1.25,9.39,6.21,7.02,1171.34
2020,2494.31,1.28,9.62,6.21,7.25,840.77
2021,2535.48,1.12,9.29,6.25,6.96,672.87
2022,2576.98,1.16,10.03,6.28,6.60,543.00
